diagnosis,febra,tuse,durere în gât,durere de cap,oboseală,greață,vărsături,diaree,erupție cutanată,durere articulară,dificultăți de respirație,durere toracică,frisoane,nas înfundat,pierderea gustului,pierderea mirosului,durere abdominală,durere de ureche,secreții nazale,durere musculară,umflături,roșeață ochi,mâncărime,slăbiciune,palpitații,amețeală,confuzie,durere la urinare,sângerare,rigiditate articulară,medications
Gripă,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Paracetamol, odihnă, hidratare"
Răceală,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Ceai cald, vitamina C, odihnă"
Amigdalită,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Antibiotice (ex. Amoxicilină), gargară cu apă sărată"
Bronșită,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sirop de tuse, inhalator"
Pneumonie,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Antibiotice (ex. Azitromicină), odihnă"
Sinuzită,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Spray nazal, antiinflamatoare"
Faringită,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pastile pentru gât, hidratare"
Infecție la ureche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Picături auriculare, antibiotice"
Migrenă,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Ibuprofen, odihnă în întuneric"
Cefalee de tensiune,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Paracetamol, relaxare"
Gastroenterită,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hidratare, electroliti"
Intoxicație alimentară,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hidratare, dietă ușoară"
Apendicită,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Consultație chirurgicală urgentă"
Infecție urinară,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Antibiotice (ex. Nitrofurantoină)"
Pietre la rinichi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Analgezice, hidratare abundentă"
Conjunctivită,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"Picături pentru ochi"
Rinită alergică,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Antihistaminice"
Astm,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Inhalator (ex. Salbutamol)"
Eczemă,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Cremă cu corticosteroizi"
Psoriazis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Cremă hidratantă, tratament topic"
Anemie,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Suplimente de fier"
Hipotiroidism,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Levotiroxină"
Hipertiroidism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Metimazol"
Diabet tip 2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Metformină, dietă controlată"
Hipertensiune,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Inhibitori ACE (ex. Enalapril)"
Entorsă gleznă,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Gheață, bandaj compresiv"
Fractură osoasă,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Imobilizare, consultație ortopedică"
Artrită,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Antiinflamatoare (ex. Ibuprofen)"
Mononucleoză,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Odihnă, hidratare"
Varicelă,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Cremă cu calamină, antipiretice"